Team,name
NC,박민우
NC,양의지
NC,박석민
NC,권희동
NC,김태진
NC,노진혁
NC,모창민
NC,김성욱
NC,이원재
kt,로하스
kt,유한준
kt,김민혁
kt,황재균
kt,강백호
kt,박경수
kt,심우준
kt,장성우
kt,오태곤
LG,이천웅
LG,김현수
LG,오지환
LG,채은성
LG,이형종
LG,유강남
LG,정주현
LG,김민성
LG,조셉
두산,페르난데스
두산,김재환
두산,허경민
두산,박건우
두산,오재일
두산,정수빈
두산,박세혁
두산,김재호
두산,최주환
키움,이정후
키움,김하성
키움,샌즈
키움,박병호
키움,서건창
키움,임병욱
키움,장영석
키움,김혜성
키움,박동원
KIA,최형우
KIA,박찬호
KIA,이창진
KIA,김선빈
KIA,안치홍
KIA,터커
KIA,김주찬
KIA,이명기
KIA,한승택
롯데,전준우
롯데,손아섭
롯데,이대호
롯데,민병헌
롯데,신본기
롯데,강로한
롯데,윌슨
롯데,오윤석
롯데,정훈
삼성,박해민
삼성,러프
삼성,김상수
삼성,구자욱
삼성,김헌곤
삼성,이원석
삼성,이학주
삼성,강민호
삼성,최영진
SK,최정
SK,로맥
SK,고종욱
SK,한유섬
SK,이재원
SK,김성현
SK,김강민
SK,노수광
SK,정의윤
한화,정은원
한화,호잉
한화,김태균
한화,송광민
한화,이성열
한화,오선진
한화,최재훈
한화,장진혁
한화,정근우
