Team,name
kt,강백호
kt,배정대
kt,조용호
kt,알몬테
kt,심우준
kt,장성우
kt,황재균
kt,박경수
kt,유한준
삼성,피렐라
삼성,구자욱
삼성,박해민
삼성,김상수
삼성,강민호
삼성,이원석
삼성,오재일
삼성,김지찬
삼성,김헌곤
LG,홍창기
LG,김현수
LG,오지환
LG,김민성
LG,채은성
LG,유강남
LG,정주현
LG,라모스
LG,이천웅
SSG,로맥
SSG,추신수
SSG,최정
SSG,최지훈
SSG,한유섬
SSG,최주환
SSG,박성한
SSG,이재원
SSG,김성현
NC,나성범
NC,양의지
NC,알테어
NC,노진혁
NC,이명기
NC,박민우
NC,강진성
NC,박석민
NC,권희동
키움,김혜성
키움,이정후
키움,서건창
키움,이용규
키움,송우현
키움,박병호
키움,박동원
키움,김웅빈
키움,전병우
두산,페르난데스
두산,양석환
두산,허경민
두산,김재환
두산,김인태
두산,박건우
두산,강승호
두산,장승현
두산,안재석
롯데,전준우
롯데,손아섭
롯데,정훈
롯데,마차도
롯데,한동희
롯데,안치홍
롯데,이대호
롯데,추재현
롯데,김민수
KIA,최원준
KIA,김선빈
KIA,터커
KIA,박찬호
KIA,김태진
KIA,최형우
KIA,이창진
KIA,김민식
KIA,이정훈
한화,정은원
한화,하주석
한화,노시환
한화,힐리
한화,최재훈
한화,장운호
한화,정진호
한화,이성열
한화,김민하
