name,day,vs,result,bat_order,position,start_member,ab,score,hit,2_hit,3_hit,homerun,tb,rbi,sb,cs,bb,hpp,ibb,so,gdp,sh,sf,avg,obp,slg,ops,pitch,avLI,RE24,WPA
박민우,2019-04-13,롯데,W 7:5,1,2B,True,4,0,2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0.5,,0.75,1.35,18,0.92,-0.14,0.023
박민우,2019-04-14,롯데,W 8:1,1,2B,True,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,,0.625,1.181,20,0.37,0.02,-0.004
박민우,2019-04-16,LG,L 2:7,1,2B,True,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.462,,0.538,1.038,21,2.36,-0.13,-0.088
박민우,2019-04-17,LG,L 2:4,1,2B,True,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.333,,0.389,0.789,26,1.38,-0.65,-0.156
박민우,2019-04-18,LG,L 1:6,2,2B,True,4,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.364,,0.409,0.826,20,0.58,0.18,0.042
박민우,2019-04-19,@SK,W 14:11,1,2B,True,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.37,,0.407,0.821,19,0.5,0.04,-0.027
박민우,2019-04-20,@SK,L 4:10,1,2B,True,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0.367,,0.4,0.794,11,1.25,-0.06,-0.024
박민우,2019-04-21,@SK,L 1:4,2,2B,True,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.364,,0.394,0.799,17,1.25,0.93,0.093
박민우,2019-04-23,@KT,W 4:3,2,2B,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,,0.342,0.699,16,1.45,-1.77,-0.184
박민우,2019-04-24,@KT,W 10:2,1,2B,True,4,1,1,1,0,0,2,2,0,1,0,1,0,0,0,0,0,0.31,,0.357,0.719,19,1.05,1.21,0.152
박민우,2019-04-27,한화,W 15:1,1,2B,True,3,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0.333,,0.4,0.773,18,1.06,0.32,0.037
박민우,2019-04-28,한화,W 10:4,1,2B,True,3,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.333,,0.396,0.778,13,0.63,-0.09,-0.011
박민우,2019-04-30,@롯데,L 1:6,1,PH,True,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.327,,0.388,0.763,7,0.48,-0.66,-0.016
박민우,2019-05-01,@롯데,W 9:5,1,2B,True,5,3,3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0.352,,0.407,0.811,20,1.2,1.1,0.142
박민우,2019-05-02,@롯데,W 7:6,1,2B,True,4,2,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0.362,,0.414,0.832,27,1.11,1.46,0.143
박민우,2019-05-03,KIA,L 4:8,1,2B,True,5,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.365,,0.413,0.829,23,0.59,-0.16,-0.014
박민우,2019-05-04,KIA,W 4:1,1,2B,True,4,0,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0.388,,0.433,0.867,17,0.88,1.61,0.176
박민우,2019-05-05,KIA,W 10:3,1,2B,True,4,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0.394,,0.437,0.881,20,0.26,0.83,0.031
박민우,2019-05-07,@삼성,L 3:6,1,2B,True,4,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0.387,,0.427,0.869,19,0.76,-0.62,-0.058
박민우,2019-05-08,@삼성,L 0:2,3,2B,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372,,0.41,0.837,8,0.46,-0.35,-0.035
박민우,2019-05-09,@삼성,L 4:6,3,2B,True,4,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.378,,0.415,0.851,12,0.94,0.24,-0.01
박민우,2019-05-10,두산,W 12:11,1,2B,True,4,2,3,1,0,0,4,2,1,0,0,0,0,0,0,1,0,0.395,,0.442,0.891,12,0.44,1.96,0.145
박민우,2019-05-11,두산,L 0:12,1,2B,True,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.374,,0.418,0.845,20,0.36,-1.83,-0.044
박민우,2019-05-12,두산,L 2:3,1,2B,True,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.368,,0.421,0.842,15,0.97,-0.54,-0.049
박민우,2019-05-14,SK,W 8:2,1,2B,True,4,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.374,,0.424,0.853,13,0.78,0.32,0.022
박민우,2019-05-15,SK,L 3:7,1,2B,True,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.359,,0.408,0.822,16,0.54,-0.88,-0.057
박민우,2019-05-16,SK,W 5:2,1,2B,True,3,2,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0.358,,0.415,0.832,18,1.42,-0.47,-0.095
박민우,2019-05-17,@LG,W 13:2,1,DH,True,3,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.358,,0.413,0.832,15,0.66,0.44,0.023
박민우,2019-05-18,@LG,W 9:3,1,2B,True,5,2,3,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0.368,,0.421,0.847,21,0.87,1.27,0.115
박민우,2019-05-21,@키움,W 3:1,1,2B,True,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.37,,0.42,0.846,20,0.76,-0.16,0.013
박민우,2019-05-22,@키움,L 2:4,1,2B,True,5,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.379,,0.427,0.859,17,1.01,1.37,0.124
박민우,2019-05-23,@키움,W 4:2,1,DH,True,4,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.375,,0.422,0.852,23,1.21,0.85,0.103
박민우,2019-05-24,SK,L 2:4,1,2B,True,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.371,,0.417,0.842,15,1.09,-0.22,-0.051
박민우,2019-05-25,SK,W 10:7,1,2B,True,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.375,,0.419,0.847,16,0.76,-0.38,-0.01
박민우,2019-05-26,SK,L 1:2,8,PH,True,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.377,,0.428,0.856,8,2.36,-0.24,0.022
박민우,2019-05-28,롯데,L 4:9,1,2B,True,4,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0.38,,0.43,0.864,16,0.68,0.5,0.01
박민우,2019-05-29,롯데,W 8:6,1,2B,True,5,2,3,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0.388,,0.442,0.881,13,0.68,1.46,0.069
박민우,2019-05-30,롯데,L 2:10,1,2B,True,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.384,,0.437,0.872,21,0.92,-0.83,-0.067
박민우,2019-05-31,@LG,L 2:3,1,2B,True,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.374,,0.426,0.85,20,1.39,-1.23,-0.138
